Assoc.,L1I accesses,L1I misses,L1D accesses,L1D misses,L2 accesses,L2 misses,L1I hit rate,L1D hit rate,L2 hit rate,L1I AMAT,L1D AMAT,L2 AMAT
1,677766,79575,205574,37087,87358,29304,0.8949,0.8472, 0.7488,11.51,16.28,5.53
2,677766,79575,205564,37097,91282,25390,0.8949,0.8471, 0.7824,11.51,16.29,5.10
4,677766,79575,205563,37098,94508,22165,0.8949,0.8471, 0.8100,11.51,16.29,4.74
8,677766,79575,205570,37091,95940,20726,0.8949,0.8471, 0.8223,11.51,16.29,4.58
16,677766,79575,205572,37089,96030,20634,0.8949,0.8472, 0.8231,11.51,16.28,4.57
32,677766,79575,205572,37089,96024,20640,0.8949,0.8472, 0.8231,11.51,16.28,4.57
