Assoc.,L1I accesses,L1I misses,L1D accesses,L1D misses,L2 accesses,L2 misses,L1I hit rate,L1D hit rate,L2 hit rate,L1I AMAT,L1D AMAT,L2 AMAT
1,597259,50,231038,4130,3656,524,0.9999,0.9824, 0.8746,1.01,2.76,1.20
2,597259,50,231038,4130,3795,385,0.9999,0.9824, 0.9079,1.01,2.76,1.17
4,597259,50,231038,4130,3799,381,0.9999,0.9824, 0.9089,1.01,2.76,1.17
8,597259,50,231038,4130,3766,414,0.9999,0.9824, 0.9010,1.01,2.76,1.18
16,597259,50,231038,4130,3724,456,0.9999,0.9824, 0.8909,1.01,2.76,1.18
32,597259,50,231038,4130,3696,484,0.9999,0.9824, 0.8842,1.01,2.76,1.19
