Assoc.,L1I accesses,L1I misses,L1D accesses,L1D misses,L2 accesses,L2 misses,L1I hit rate,L1D hit rate,L2 hit rate,L1I AMAT,L1D AMAT,L2 AMAT
1,725020,57744,193576,23661,68026,13379,0.9262,0.8911, 0.8356,8.38,11.89,3.41
2,725020,57744,193576,23661,73018,8387,0.9262,0.8911, 0.8970,8.38,11.89,2.85
4,725020,57744,193572,23665,75442,5967,0.9262,0.8911, 0.9267,8.38,11.89,2.58
8,725020,57744,193572,23665,75441,5968,0.9262,0.8911, 0.9267,8.38,11.89,2.58
16,725020,57744,193572,23665,75033,6376,0.9262,0.8911, 0.9217,8.38,11.89,2.63
32,725020,57744,193572,23665,75013,6396,0.9262,0.8911, 0.9214,8.38,11.89,2.63
