Assoc.,L1I accesses,L1I misses,L1D accesses,L1D misses,L2 accesses,L2 misses,L1I hit rate,L1D hit rate,L2 hit rate,L1I AMAT,L1D AMAT,L2 AMAT
1,725020,57744,131997,85240,64949,11497,0.9262,0.6076, 0.8496,8.38,40.24,6.84
2,725020,57744,131997,85240,68849,7597,0.9262,0.6076, 0.9006,8.38,40.24,5.65
4,725020,57744,131995,85242,70928,5520,0.9262,0.6076, 0.9278,8.38,40.24,5.01
8,725020,57744,131995,85242,71047,5401,0.9262,0.6076, 0.9294,8.38,40.24,4.98
16,725020,57744,131995,85242,70666,5782,0.9262,0.6076, 0.9244,8.38,40.24,5.09
32,725020,57744,131995,85242,70632,5816,0.9262,0.6076, 0.9239,8.38,40.24,5.10
