Assoc.,L1I accesses,L1I misses,L1D accesses,L1D misses,L1I hit rate,L1D hit rate,L1I AMAT,L1D AMAT
1,545035,52274,118709,116459,0.9125,0.5048,9.75,50.52
2,597259,50,127996,107172,0.9999,0.5443,1.01,46.57
4,597248,61,129714,105454,0.9999,0.5516,1.01,45.84
8,597279,30,129714,105454,0.9999,0.5516,1.01,45.84
16,597279,30,129714,105454,0.9999,0.5516,1.01,45.84
32,597279,30,129714,105454,0.9999,0.5516,1.01,45.84
