Assoc.,L1I accesses,L1I misses,L1D accesses,L1D misses,L1I hit rate,L1D hit rate,L1I AMAT,L1D AMAT
1,673955,83386,125147,117514,0.8899,0.5157,12.01,49.43
2,677766,79575,132992,109669,0.8949,0.5481,11.51,46.19
4,677887,79454,135894,106767,0.8951,0.5600,11.49,45.00
8,678211,79130,137238,105423,0.8955,0.5656,11.45,44.44
16,678176,79165,138010,104651,0.8955,0.5687,11.45,44.13
32,678069,79272,138118,104543,0.8953,0.5692,11.47,44.08
